sku,temporada,categoria,calidad,nombre_display,tallas,publico,contenido_resumen,peso_lb,peso_kg,piezas_aprox
PV-MUJ-BOU,Verano,Mujer,Boutique,MUJER VERANO BOUTIQUE,"CH, M, G, XL",Mujer adulta,"Shorts, faldas, pantalones, blusas (manga corta/tres cuartos/tirantes), vestidos",100,45,PENDIENTE
PV-MUJ-PRE,Verano,Mujer,Premium,MUJER VERANO PREMIUM,"CH, M, G, XL",Mujer adulta,"Shorts, faldas, pantalones, blusas (manga corta/tres cuartos/tirantes), vestidos",100,45,PENDIENTE
PV-MUJ-ESP,Verano,Mujer,Especial,MUJER VERANO ESPECIAL,"CH, M, G, XL",Mujer adulta,"Shorts, faldas, pantalones, blusas (manga corta/tres cuartos/tirantes), vestidos",100,45,PENDIENTE
PV-HOM-BOU,Verano,Hombre,Boutique,HOMBRE VERANO BOUTIQUE,"CH, M, G, XL",Hombre adulto,"Shorts, pantalones, camisas sin mangas y con mangas, camisas de vestir, deportivo",100,45,PENDIENTE
PV-HOM-PRE,Verano,Hombre,Premium,HOMBRE VERANO PREMIUM,"CH, M, G, XL",Hombre adulto,"Shorts, pantalones, camisas sin mangas y con mangas, camisas de vestir, deportivo",100,45,PENDIENTE
PV-HOM-ESP,Verano,Hombre,Especial,HOMBRE VERANO ESPECIAL,"CH, M, G, XL",Hombre adulto,"Shorts, pantalones, camisas sin mangas y con mangas, camisas de vestir, deportivo",100,45,PENDIENTE
PV-NIN-BOU,Verano,Niño,Boutique,NIÑO VERANO BOUTIQUE,0 a 16 años,Niño y niña (mixto),"Mamelucos, enterizos, blusitas, shorts, pantalones — ropa de calor",100,45,PENDIENTE
PV-NIN-PRE,Verano,Niño,Premium,NIÑO VERANO PREMIUM,0 a 16 años,Niño y niña (mixto),"Mamelucos, enterizos, blusitas, shorts, pantalones — ropa de calor",100,45,PENDIENTE
PV-NIN-ESP,Verano,Niño,Especial,NIÑO VERANO ESPECIAL,0 a 16 años,Niño y niña (mixto),"Mamelucos, enterizos, blusitas, shorts, pantalones — ropa de calor",100,45,PENDIENTE
PV-COR-BOU,Verano,Corsé,Boutique,CORSE VERANO BOUTIQUE,PENDIENTE,PENDIENTE,PENDIENTE — no descrito en transcripts,100,45,PENDIENTE
PV-COR-PRE,Verano,Corsé,Premium,CORSE VERANO PREMIUM,PENDIENTE,PENDIENTE,PENDIENTE — no descrito en transcripts,100,45,PENDIENTE
PV-PLA-EST,Verano,Playera,Estándar,PLAYERA COMERCIAL,PENDIENTE,PENDIENTE,PENDIENTE — no descrito en transcripts,100,45,PENDIENTE
PV-VES-EST,Verano,Vestido de fiesta,Estándar,VESTIDO DE FIESTA,"CH, M, G, XL",Mujer adulta,Vestidos de fiesta — calidad estándar (unicalidad),100,45,PENDIENTE
PV-HOS-EST,Verano,Ropa de hospital,Estándar,ROPA DE HOSPITAL,"CH, M, G, XL",Adulto,"Scrubs: a veces juego completo (playera y pantalón), a veces sólo playera o sólo pantalón",100,45,PENDIENTE
PV-CAS-EST,Verano,Ropa de casa,Estándar,ROPA DE CASA,N/A,Hogar,"Sábanas, cortinas, cortinas de baño, a veces cojines para sillones",100,45,PENDIENTE
PV-MIX-PLU,Verano,Mixta Plus,Estándar,MIXTA VERANO PLUS,"1X, 2X, 3X",Mujer y hombre (mixto),Ropa de calor en tallas extra,100,45,PENDIENTE
PV-DIS-EST,Verano,Disfraz,Estándar,DISFRAZ,Revueltas,Niño y adulto (mixto),Puros disfraces — calidad estándar (unicalidad),100,45,PENDIENTE
PI-MUJ-BOU,Invierno,Mujer,Boutique,MUJER INVIERNO BOUTIQUE,"CH, M, G, XL",Mujer adulta,"Calcetines, mallas, medias, suéteres, sudaderas, blusas de manga larga, pantalones de mezclilla y de vestir",100,45,PENDIENTE
PI-MUJ-PRE,Invierno,Mujer,Premium,MUJER INVIERNO PREMIUM,"CH, M, G, XL",Mujer adulta,"Calcetines, mallas, medias, suéteres, sudaderas, blusas de manga larga, pantalones de mezclilla y de vestir",100,45,PENDIENTE
PI-MUJ-ESP,Invierno,Mujer,Especial,MUJER INVIERNO ESPECIAL,"CH, M, G, XL",Mujer adulta,"Calcetines, mallas, medias, suéteres, sudaderas, blusas de manga larga, pantalones de mezclilla y de vestir",100,45,PENDIENTE
PI-HOM-BOU,Invierno,Hombre,Boutique,HOMBRE INVIERNO BOUTIQUE,"CH, M, G, XL",Hombre adulto,"Gorritos, calcetas, pantalones largos, pants, suéteres, sudaderas",100,45,PENDIENTE
PI-HOM-PRE,Invierno,Hombre,Premium,HOMBRE INVIERNO PREMIUM,"CH, M, G, XL",Hombre adulto,"Gorritos, calcetas, pantalones largos, pants, suéteres, sudaderas",100,45,PENDIENTE
